,Consumerism,"Drinking, Drugs & Smoking",Educational Value,Language,MPAA_rating,Positive Messages,Sex,Sexy Stuff,Violence,Violence & Scariness,age,genre,movie_id,one_line_description,overall_rating,slug,title,MPAA_ordinal,is_educational,has_Sexy_Stuff,has_Violence_&_Scariness
0,0.0,3.0,,0.0,NR,4.0,2.0,,0.0,,10,Drama,0,Mild Andrea Bocelli biopic lacks momentum.,2,the-music-of-silence,The Music of Silence,4,0,0,0
1,0.0,4.0,,4.0,NR,3.0,4.0,,2.0,,16,Drama,1,"Timely, effective YA-based tale about LGBTQ teens.",4,the-miseducation-of-cameron-post,The Miseducation of Cameron Post,4,0,0,0
2,2.0,4.0,,4.0,R,3.0,5.0,,4.0,,16,Action/Adventure,2,Bullets and profanity fly in feminist friendship comedy.,4,the-spy-who-dumped-me,The Spy Who Dumped Me,3,0,0,0
3,2.0,0.0,,3.0,PG-13,3.0,1.0,,4.0,,13,Science Fiction,3,"Skilled actors can't save derivative, violent YA thriller.",2,the-darkest-minds,The Darkest Minds,2,0,0,0
4,5.0,3.0,,3.0,NR,3.0,2.0,,0.0,,15,Comedy,4,Goodhearted but predictable father-daughter comedy; language,2,like-father,Like Father,4,0,0,0
5,0.0,0.0,,1.0,NR,4.0,1.0,,2.0,,10,Drama,5,"Sincere, wholesome drama overcomes cliched plot.",3,urban-country,Urban Country,4,0,0,0
6,1.0,0.0,2.0,1.0,PG,4.0,0.0,1.0,0.0,2.0,8,Family and Kids,6,"Sweet but slow tale about the power of family, imagination.",3,christopher-robin,Christopher Robin,1,1,1,1
7,2.0,2.0,,4.0,R,3.0,3.0,,2.0,,15,Comedy,7,Female stars shine in dark comedy about motherhood.,4,tully,Tully,3,0,0,0
8,1.0,3.0,,3.0,PG-13,0.0,3.0,,1.0,,13,Comedy,8,"Lazy, insulting, gender-swapped remake just isn't funny.",1,overboard,Overboard,2,0,0,0
9,0.0,0.0,,0.0,PG,4.0,0.0,1.0,0.0,1.0,8,Drama,9,"Tragic loss rocks, then inspires team in true sports story.",3,the-miracle-season,The Miracle Season,1,0,1,1
10,0.0,2.0,,4.0,R,0.0,5.0,,4.0,,18,Thriller,10,Exploitative Carrey thriller has lots of sexual violence.,1,dark-crimes,Dark Crimes,3,0,0,0
11,0.0,2.0,,4.0,R,3.0,4.0,,0.0,,16,Drama,11,"Insightful story about art has language, sexual situations.",4,final-portrait,Final Portrait,3,0,0,0
12,2.0,3.0,,4.0,R,3.0,4.0,,4.0,,16,Drama,12,"Uneven LA riots drama has violence, sex, and language.",2,kings,Kings,3,0,0,0
13,3.0,0.0,0.0,0.0,NR,1.0,0.0,0.0,0.0,3.0,7,Family and Kids,13,"Loud, action-packed comic tale sells toys.",2,lego-dc-comics-super-heroes-aquaman-rage-of-atlantis,Lego DC Comics Super Heroes: Aquaman - Rage of Atlantis,4,1,1,1
14,0.0,2.0,,4.0,R,4.0,2.0,,0.0,,15,Drama,14,Lovely personal empowerment story has some language.,5,puzzle,Puzzle,3,0,0,0
15,1.0,1.0,,3.0,PG-13,2.0,1.0,,4.0,,13,Action/Adventure,15,Cruise's sixth M:I action adventure is most intense one yet.,4,mission-impossible-fallout,Mission: Impossible -- Fallout,2,0,0,0
16,0.0,0.0,,3.0,NR,5.0,2.0,,0.0,,16,Documentary,16,"Informative, eye-opening docu about medical-device industry",4,the-bleeding-edge,The Bleeding Edge,4,0,0,0
17,0.0,4.0,,4.0,R,1.0,3.0,,3.0,,16,Drama,17,"Pervasive drug culture, strong language in drama/thriller.",3,hot-summer-nights,Hot Summer Nights,3,0,0,0
18,1.0,0.0,0.0,3.0,PG,4.0,0.0,1.0,0.0,3.0,8,Family and Kids,18,"Irreverent, immature comedy cleverly mocks superhero genre.",4,teen-titans-go-to-the-movies,Teen Titans Go! To the Movies,1,1,1,1
19,0.0,0.0,,2.0,NR,1.0,0.0,,5.0,,16,Science Fiction,19,"Violent ""alien invasion"" sci-fi tale has intense peril.",2,extinction,Extinction,4,0,0,0
20,3.0,0.0,4.0,0.0,NR,3.0,0.0,0.0,0.0,1.0,6,Documentary,20,"Beautiful documentary celebrates ""America's best idea.""",4,national-parks-adventure,National Parks Adventure,4,1,1,1
21,1.0,0.0,5.0,0.0,NR,4.0,0.0,0.0,0.0,1.0,7,Documentary,21,STEM-themed docu will inspire kids to become engineers.,4,dream-big-engineering-our-world,Dream Big: Engineering Our World,4,1,1,1
22,1.0,0.0,,3.0,PG-13,3.0,1.0,,4.0,,14,Action/Adventure,22,"Big, loud, occasionally gory game-based adventure.",2,rampage,Rampage,2,0,0,0
23,3.0,1.0,,3.0,PG-13,3.0,2.0,,4.0,,12,Action/Adventure,23,Intense virtual reality adventure will dazzle '80s fans.,4,ready-player-one,Ready Player One,2,0,0,0
24,0.0,1.0,,4.0,NR,0.0,1.0,,4.0,,14,Drama,24,"Bullying, cursing, violence in Spanish thriller.",3,the-warning,The Warning,4,0,0,0
25,1.0,2.0,,4.0,R,1.0,2.0,,3.0,,16,Thriller,25,1989-set spy thriller has violence and sex.,3,damascus-cover,Damascus Cover,3,0,0,0
26,4.0,3.0,,4.0,R,2.0,1.0,,4.0,,16,Thriller,26,"Sequel offers more stylish, inventive, violent action.",3,the-equalizer-2,The Equalizer 2,3,0,0,0
27,1.0,4.0,,5.0,NR,0.0,3.0,,3.0,,16,Comedy,27,"Raunchy, lowbrow disaster with cursing, slapstick action.",1,father-of-the-year,Father of the Year,4,0,0,0
28,0.0,0.0,0.0,0.0,PG,3.0,0.0,1.0,0.0,2.0,5,Family and Kids,28,"Sweet animated animal tale has peril, positive messages.",3,duck-duck-goose,Duck Duck Goose,1,1,1,1
29,0.0,2.0,,2.0,R,3.0,3.0,,1.0,,16,Science Fiction,29,"Slow-moving sci-fi love story falls flat; some sex, drugs.",2,zoe-2018,Zoe (2018),3,0,0,0
30,1.0,3.0,,4.0,R,3.0,2.0,,4.0,,16,Comedy,30,"Smart, thoughtful dramedy explores race and violence.",4,blindspotting,Blindspotting,3,0,0,0
